classifier_name,dataset_name,accuracy
mean,adult_rate_60,0.5301175248150374
mice,adult_rate_60,0.5301175248150374
genrbf,adult_rate_60,0.4670161085531134
em,adult_rate_60,0.5094262295081967
kpca,adult_rate_60,0.5061475409836065
ppca,adult_rate_60,0.5301789477805448
mpk,adult_rate_60,0.5540983606557377
mean,adult_rate_70,0.5301175248150374
mice,adult_rate_70,0.5301175248150374
genrbf,adult_rate_70,0.4670161085531134
em,adult_rate_70,0.5094262295081967
kpca,adult_rate_70,0.5061475409836065
ppca,adult_rate_70,0.5301789477805448
mpk,adult_rate_70,0.5540983606557377
mean,adult_rate_80,0.5301175248150374
mice,adult_rate_80,0.5301175248150374
genrbf,adult_rate_80,0.4670161085531134
em,adult_rate_80,0.5094262295081967
kpca,adult_rate_80,0.5061475409836065
ppca,adult_rate_80,0.5301789477805448
mpk,adult_rate_80,0.5540983606557377
mean,student_rate_5,0.5331782945736434
mice,student_rate_5,0.534716756112105
rbfn,student_rate_5,0.0
genrbf,student_rate_5,0.4145259391771019
em,student_rate_5,0.4052355396541443
kpca,student_rate_5,0.550041741204532
ppca,student_rate_5,0.5546571258199164
mpk,student_rate_5,0.5608467501490757
mean,student_rate_10,0.5331782945736434
mice,student_rate_10,0.534716756112105
rbfn,student_rate_10,0.0
genrbf,student_rate_10,0.4145259391771019
em,student_rate_10,0.4052355396541443
kpca,student_rate_10,0.550041741204532
ppca,student_rate_10,0.5546571258199164
mpk,student_rate_10,0.5608467501490757
mean,student_rate_20,0.5331782945736434
mice,student_rate_20,0.534716756112105
rbfn,student_rate_20,0.0
genrbf,student_rate_20,0.4145259391771019
em,student_rate_20,0.4052355396541443
kpca,student_rate_20,0.550041741204532
ppca,student_rate_20,0.5546571258199164
mpk,student_rate_20,0.5608467501490757
mean,student_rate_30,0.5331782945736434
mice,student_rate_30,0.534716756112105
rbfn,student_rate_30,0.0
genrbf,student_rate_30,0.4145259391771019
em,student_rate_30,0.4052355396541443
kpca,student_rate_30,0.550041741204532
ppca,student_rate_30,0.5546571258199164
mpk,student_rate_30,0.5608467501490757
mean,student_rate_40,0.5331782945736434
mice,student_rate_40,0.534716756112105
rbfn,student_rate_40,0.0
genrbf,student_rate_40,0.4145259391771019
em,student_rate_40,0.4052355396541443
kpca,student_rate_40,0.550041741204532
ppca,student_rate_40,0.5546571258199164
mpk,student_rate_40,0.5608467501490757
mean,student_rate_50,0.5331782945736434
mice,student_rate_50,0.534716756112105
rbfn,student_rate_50,0.0
genrbf,student_rate_50,0.4145259391771019
em,student_rate_50,0.4052355396541443
kpca,student_rate_50,0.550041741204532
ppca,student_rate_50,0.5546571258199164
mpk,student_rate_50,0.5608467501490757
mean,student_rate_60,0.5331782945736434
mice,student_rate_60,0.534716756112105
rbfn,student_rate_60,0.0
genrbf,student_rate_60,0.4145259391771019
em,student_rate_60,0.4052355396541443
